Period;SINFLFTM2 * (%);SINFLNFKQ1 * (%);
1999-12-31;4.1;3.9;
2000-03-31;4.2;4.3;
2000-06-30;3.9;4.8;
2000-09-30;4.1;5;
2000-12-31;4;4.7;
2001-03-31;3.4;4.2;
2001-06-30;3.8;4.8;
2001-09-30;3.6;4.7;
2001-12-31;3.6;3.9;
2002-03-31;3.3;3.6;
2002-06-30;3;2.7;
2002-09-30;2.9;2.4;
2002-12-31;2.8;2.3;
2003-03-31;2.9;2.1;
2003-06-30;2.7;2.6;
2003-09-30;2.7;2.6;
2003-12-31;2.8;2.9;
2004-03-31;2.8;3.3;
2004-06-30;2.7;3.1;
2004-09-30;2.9;3.1;
2004-12-31;2.8;3.2;
2005-03-31;2.6;2.7;
2005-06-30;2.5;2.7;
2005-09-30;2.5;2.8;
2005-12-31;2.5;2.8;
2006-03-31;2.4;2.7;
2006-06-30;2.4;2.9;
2006-09-30;2.7;3;
2006-12-31;2.7;3;
2007-03-31;2.5;3;
2007-06-30;2.5;3;
2007-09-30;2.5;3.6;
2007-12-31;2.7;4.9;
2008-03-31;2.6;4.9;
2008-06-30;2.7;4.9;
2008-09-30;2.6;4.1;
2008-12-31;2.5;2.9;
2009-03-31;2.5;1.9;
2009-06-30;2.5;1.8;
2009-09-30;2.5;1.7;
2009-12-31;2.6;1.8;
2010-03-31;2.5;2;
2010-06-30;2.5;2.1;
2010-09-30;2.5;2.4;
2010-12-31;2.5;2.5;
2011-03-31;2.5;2.6;
2011-06-30;2.5;2.5;
2011-09-30;2.3;2.4;
2011-12-31;2.1;2.5;
2012-03-31;2.2;2.6;
2012-06-30;2.1;2.5;
2012-09-30;2.3;2.5;
2012-12-31;2.1;2.5;
2013-03-31;1.9;2.4;
2013-06-30;2.1;2.2;
2013-09-30;2.1;2.1;
2013-12-31;2.1;2.1;
2014-03-31;2.1;1.9;
2014-06-30;2;1.8;
2014-09-30;2.1;1.8;
2014-12-31;2;1.7;
2015-03-31;1.9;1.5;
2015-06-30;2;1.5;
2015-09-30;2;1.4;
2015-12-31;2;1.5;
2016-03-31;2;1.4;
2016-06-30;1.9;1.4;
2016-09-30;2;1.3;
2016-12-31;2;1.5;
2017-03-31;2;1.7;
2017-06-30;2;1.8;
2017-09-30;2;1.9;
2017-12-31;2;2.1;
2018-03-31;2;2.1;
2018-06-30;2;2;
2018-09-30;2;2.2;
2018-12-31;2;2.2;
2019-03-31;1.9;2.2;
2019-06-30;2;2.2;
2019-09-30;2;2.2;
2019-12-31;2;2.2;
2020-03-31;1.9;2.2;
2020-06-30;1.9;2.4;
2020-09-30;2;2.3;
2020-12-31;2;2.4;
2021-03-31;2;2.3;
2021-06-30;2.1;2.8;
2021-09-30;2.1;3.4;
2021-12-31;2.2;4.4;
2022-03-31;2.2;7.1;
2022-06-30;2.5;9.4;
2022-09-30;2.8;10.3;
2022-12-31;2.7;10.1;
2023-03-31;2.6;8.9;
2023-06-30;2.5;7.9;
2023-09-30;2.4;6.6;
2023-12-31;2.3;5.8;
2024-03-31;2.2;4;
2024-06-30;2.2;3.8;
2024-09-30;2.1;3.3;
2024-12-31;2.2;3;
2025-03-31;2.2;2.9;
2025-06-30;2.1;2.8;
2025-09-30;2.2;2.8;
2025-12-31;2.2;2.7;
