"DATE","TIME PERIOD","Labour Productivity (per hours worked) (MNA.Q.Y.CZ.W0.S1.S1._Z.LPR_HW._Z._T._Z.IX.LR.N)"
"1995-03-31","1995Q1","52.64"
"1995-06-30","1995Q2","54.04"
"1995-09-30","1995Q3","54.04"
"1995-12-31","1995Q4","54.92"
"1996-03-31","1996Q1","55.11"
"1996-06-30","1996Q2","56.07"
"1996-09-30","1996Q3","56.19"
"1996-12-31","1996Q4","56.36"
"1997-03-31","1997Q1","55.68"
"1997-06-30","1997Q2","56.44"
"1997-09-30","1997Q3","55.47"
"1997-12-31","1997Q4","55.30"
"1998-03-31","1998Q1","56.35"
"1998-06-30","1998Q2","55.02"
"1998-09-30","1998Q3","56.20"
"1998-12-31","1998Q4","55.57"
"1999-03-31","1999Q1","55.74"
"1999-06-30","1999Q2","56.19"
"1999-09-30","1999Q3","57.79"
"1999-12-31","1999Q4","58.43"
"2000-03-31","2000Q1","59.14"
"2000-06-30","2000Q2","58.90"
"2000-09-30","2000Q3","59.66"
"2000-12-31","2000Q4","59.18"
"2001-03-31","2001Q1","62.14"
"2001-06-30","2001Q2","63.31"
"2001-09-30","2001Q3","63.58"
"2001-12-31","2001Q4","65.81"
"2002-03-31","2002Q1","64.02"
"2002-06-30","2002Q2","64.45"
"2002-09-30","2002Q3","64.94"
"2002-12-31","2002Q4","65.38"
"2003-03-31","2003Q1","66.75"
"2003-06-30","2003Q2","67.66"
"2003-09-30","2003Q3","68.22"
"2003-12-31","2003Q4","68.79"
"2004-03-31","2004Q1","70.02"
"2004-06-30","2004Q2","69.85"
"2004-09-30","2004Q3","71.39"
"2004-12-31","2004Q4","72.06"
"2005-03-31","2005Q1","72.66"
"2005-06-30","2005Q2","73.63"
"2005-09-30","2005Q3","74.64"
"2005-12-31","2005Q4","76.16"
"2006-03-31","2006Q1","77.04"
"2006-06-30","2006Q2","78.91"
"2006-09-30","2006Q3","78.83"
"2006-12-31","2006Q4","79.42"
"2007-03-31","2007Q1","80.83"
"2007-06-30","2007Q2","81.46"
"2007-09-30","2007Q3","82.04"
"2007-12-31","2007Q4","82.93"
"2008-03-31","2008Q1","82.56"
"2008-06-30","2008Q2","82.47"
"2008-09-30","2008Q3","82.04"
"2008-12-31","2008Q4","79.57"
"2009-03-31","2009Q1","79.71"
"2009-06-30","2009Q2","78.92"
"2009-09-30","2009Q3","79.41"
"2009-12-31","2009Q4","79.65"
"2010-03-31","2010Q1","79.90"
"2010-06-30","2010Q2","81.45"
"2010-09-30","2010Q3","82.06"
"2010-12-31","2010Q4","83.58"
"2011-03-31","2011Q1","82.19"
"2011-06-30","2011Q2","83.30"
"2011-09-30","2011Q3","84.01"
"2011-12-31","2011Q4","83.89"
"2012-03-31","2012Q1","83.43"
"2012-06-30","2012Q2","83.69"
"2012-09-30","2012Q3","84.47"
"2012-12-31","2012Q4","82.77"
"2013-03-31","2013Q1","83.97"
"2013-06-30","2013Q2","83.43"
"2013-09-30","2013Q3","83.94"
"2013-12-31","2013Q4","83.98"
"2014-03-31","2014Q1","83.82"
"2014-06-30","2014Q2","84.95"
"2014-09-30","2014Q3","85.39"
"2014-12-31","2014Q4","84.79"
"2015-03-31","2015Q1","87.97"
"2015-06-30","2015Q2","87.85"
"2015-09-30","2015Q3","87.85"
"2015-12-31","2015Q4","91.36"
"2016-03-31","2016Q1","87.57"
"2016-06-30","2016Q2","88.20"
"2016-09-30","2016Q3","90.05"
"2016-12-31","2016Q4","90.32"
"2017-03-31","2017Q1","90.74"
"2017-06-30","2017Q2","92.05"
"2017-09-30","2017Q3","92.59"
"2017-12-31","2017Q4","92.91"
"2018-03-31","2018Q1","92.93"
"2018-06-30","2018Q2","92.91"
"2018-09-30","2018Q3","93.20"
"2018-12-31","2018Q4","93.65"
"2019-03-31","2019Q1","95.25"
"2019-06-30","2019Q2","95.89"
"2019-09-30","2019Q3","97.51"
"2019-12-31","2019Q4","98.02"
"2020-03-31","2020Q1","100.81"
"2020-06-30","2020Q2","98.30"
"2020-09-30","2020Q3","97.48"
"2020-12-31","2020Q4","103.40"
"2021-03-31","2021Q1","100.81"
"2021-06-30","2021Q2","100.55"
"2021-09-30","2021Q3","99.54"
"2021-12-31","2021Q4","99.96"
"2022-03-31","2022Q1","98.94"
"2022-06-30","2022Q2","99.38"
"2022-09-30","2022Q3","98.72"
"2022-12-31","2022Q4","97.82"
"2023-03-31","2023Q1","97.37"
"2023-06-30","2023Q2","96.83"
"2023-09-30","2023Q3","96.64"
"2023-12-31","2023Q4","96.39"
"2024-03-31","2024Q1","96.62"
"2024-06-30","2024Q2","95.99"
"2024-09-30","2024Q3","96.58"
"2024-12-31","2024Q4","96.42"
"2025-03-31","2025Q1","97.17"
"2025-06-30","2025Q2","96.89"
"2025-09-30","2025Q3","96.55"
